1,1,-25,-25,50,50,1,-1,-1,-1
1,2,-25,-25,50,50,1,-1,-1,-1
1,3,-25,-25,50,50,1,-1,-1,-1
2,1,753,215,78,44,1,-1,-1,-1
2,2,279,481,93,44,1,-1,-1,-1
2,3,998,40,103,55,1,-1,-1,-1
3,1,753,214,78,45,1,-1,-1,-1
3,2,279,481,94,45,1,-1,-1,-1
3,3,998,40,102,55,1,-1,-1,-1
4,1,752,213,80,44,1,-1,-1,-1
4,2,276.299,480.999,94,45,1,-1,-1,-1
4,3,999.801,38.1997,102,55,1,-1,-1,-1
5,1,753,213,74,44,1,-1,-1,-1
5,2,274.23,481.45,94,45,1,-1,-1,-1
5,3,998.182,37.1199,102,55,1,-1,-1,-1
6,1,749,212,77,45,1,-1,-1,-1
6,2,268.634,481.495,94,45,1,-1,-1,-1
6,3,996.671,36.5621,102,55,1,-1,-1,-1
7,1,748,212,75,45,1,-1,-1,-1
7,2,270.294,482.399,94,45,1,-1,-1,-1
7,3,995.613,36.5029,102,55,1,-1,-1,-1
8,1,745,214,79,43,1,-1,-1,-1
8,2,266.433,482.492,94,45,1,-1,-1,-1
8,3,993.711,36.4984,102,55,1,-1,-1,-1
9,1,743,213,78,45,1,-1,-1,-1
9,2,262,482,98,47,1,-1,-1,-1
9,3,995,36,99,55,1,-1,-1,-1
10,1,740,211,81,47,1,-1,-1,-1
10,2,264,481,97,49,1,-1,-1,-1
10,3,997,35,98,55,1,-1,-1,-1
11,1,738,213,80,46,1,-1,-1,-1
11,2,258,483,97,50,1,-1,-1,-1
11,3,996,38,96,51,1,-1,-1,-1
12,1,738,213,80,46,1,-1,-1,-1
12,2,258,484,94,49,1,-1,-1,-1
12,3,995,37,97,52,1,-1,-1,-1
13,1,735,211,81,46,1,-1,-1,-1
13,2,254,482,99,51,1,-1,-1,-1
13,3,995,36,97,52,1,-1,-1,-1
14,1,732,212,80,46,1,-1,-1,-1
14,2,249.92,482.921,99,51,1,-1,-1,-1
14,3,993.189,35.5524,97,52,1,-1,-1,-1
15,1,730,211,82,46,1,-1,-1,-1
15,2,243.138,483.464,99,51,1,-1,-1,-1
15,3,990.736,35.0375,97,52,1,-1,-1,-1
16,1,731,210,80,47,1,-1,-1,-1
16,2,248,484,96,48,1,-1,-1,-1
16,3,988,31,105,59,1,-1,-1,-1
17,1,731,210,80,47,1,-1,-1,-1
17,2,248,484,95,48,1,-1,-1,-1
17,3,988,31,104,58,1,-1,-1,-1
18,1,731,210,77,46,1,-1,-1,-1
18,2,242,485,100,51,1,-1,-1,-1
18,3,982,30,106,58,1,-1,-1,-1
19,1,731,210,77,45,1,-1,-1,-1
19,2,244,485,95,50,1,-1,-1,-1
19,3,982,29,108,59,1,-1,-1,-1
20,1,731,209,73,44,1,-1,-1,-1
20,2,235,483,104,52,1,-1,-1,-1
20,3,982,28,108,59,1,-1,-1,-1
21,1,729,209,76,45,1,-1,-1,-1
21,2,240,486,96,48,1,-1,-1,-1
21,3,983,29,105,57,1,-1,-1,-1
22,1,729,209,76,46,1,-1,-1,-1
22,2,236,485,102,52,1,-1,-1,-1
22,3,985,28,104,59,1,-1,-1,-1
23,1,728,209,77,46,1,-1,-1,-1
23,2,237,486,101,52,1,-1,-1,-1
23,3,989,29,100,57,1,-1,-1,-1
24,1,723,209,82,48,1,-1,-1,-1
24,2,230,487,107,53,1,-1,-1,-1
